"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 19:32:03 GMT 2023","Fri Feb 10 19:32:03 GMT 2023","1","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:34:20 GMT 2023","Fri Feb 10 19:34:27 GMT 2023","6538","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Depature Date""","User click on the ""Bus Depature Date""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Date1""","User click on the ""Date1""",""
"passed","Fri Feb 10 19:32:15 GMT 2023","Fri Feb 10 19:32:18 GMT 2023","2779","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","Verify the ""flight home page"" with ""flight home page title"" from given sheet ""TestData""","Verify the ""flight home page"" with ""flight home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:30:50 GMT 2023","Fri Feb 10 19:30:54 GMT 2023","4328","","Find flight process","","Find flight process","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Class Drop down""","User click on the ""Class Drop down""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","1","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Search button""","User click on the ""Search button""",""
"passed","Fri Feb 10 19:33:34 GMT 2023","Fri Feb 10 19:33:37 GMT 2023","3613","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"failed","Fri Feb 10 19:34:33 GMT 2023","Fri Feb 10 19:34:39 GMT 2023","5624","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search button""","User click on the ""Bus Search button""",""
"passed","Fri Feb 10 19:32:06 GMT 2023","Fri Feb 10 19:32:15 GMT 2023","9202","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""FLIGHT tab""","User click on the ""FLIGHT tab""",""
"passed","Fri Feb 10 19:32:18 GMT 2023","Fri Feb 10 19:32:25 GMT 2023","6630","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Round trip radio button""","User click on the ""Round trip radio button""",""
"failed","Fri Feb 10 19:33:10 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","5571","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Add Return Date""","User click on the ""Add Return Date""",""
"passed","Fri Feb 10 19:33:58 GMT 2023","Fri Feb 10 19:34:05 GMT 2023","6523","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Chennai""","User click on the ""Chennai""",""
"passed","Fri Feb 10 19:32:50 GMT 2023","Fri Feb 10 19:32:56 GMT 2023","6652","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Goa (GOI)""","User click on the ""Goa (GOI)""",""
"passed","Fri Feb 10 19:33:56 GMT 2023","Fri Feb 10 19:33:58 GMT 2023","2564","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User enters text in text field ""Bus Search From"" from given sheet ""TestData""","User enters text in text field ""Bus Search From"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:30:50 GMT 2023","Fri Feb 10 19:30:50 GMT 2023","8","","Find flight process","","Find flight process","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","2","","Find flight process","","Find flight process","User click on the ""Class Drop down""","User click on the ""Class Drop down""",""
"passed","Fri Feb 10 19:30:54 GMT 2023","Fri Feb 10 19:31:01 GMT 2023","6615","","Find flight process","","Find flight process","User click on the ""From text field""","User click on the ""From text field""",""
"passed","Fri Feb 10 19:35:29 GMT 2023","Fri Feb 10 19:35:32 GMT 2023","3596","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:34:14 GMT 2023","Fri Feb 10 19:34:20 GMT 2023","6542","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Hyderabad""","User click on the ""Hyderabad""",""
"failed","Fri Feb 10 19:31:39 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","5889","","Find flight process","","Find flight process","User click on the ""TRAVELLERS & CABIN Drop down""","User click on the ""TRAVELLERS & CABIN Drop down""",""
"passed","Fri Feb 10 19:34:56 GMT 2023","Fri Feb 10 19:34:56 GMT 2023","0","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:32:25 GMT 2023","Fri Feb 10 19:32:31 GMT 2023","6634","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""From text field""","User click on the ""From text field""",""
"passed","Fri Feb 10 19:33:37 GMT 2023","Fri Feb 10 19:33:46 GMT 2023","9142","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""BUS tab""","User click on the ""BUS tab""",""
"passed","Fri Feb 10 19:31:03 GMT 2023","Fri Feb 10 19:31:10 GMT 2023","6595","","Find flight process","","Find flight process","User click on the ""Chennai (MAA)""","User click on the ""Chennai (MAA)""",""
"passed","Fri Feb 10 19:32:41 GMT 2023","Fri Feb 10 19:32:47 GMT 2023","6573","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""To text field""","User click on the ""To text field""",""
"passed","Fri Feb 10 19:31:01 GMT 2023","Fri Feb 10 19:31:03 GMT 2023","2619","","Find flight process","","Find flight process","User enters text in text field ""From"" from given sheet ""TestData""","User enters text in text field ""From"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:31:10 GMT 2023","Fri Feb 10 19:31:17 GMT 2023","6611","","Find flight process","","Find flight process","User click on the ""To text field""","User click on the ""To text field""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","0","","Find flight process","","Find flight process","User click on the ""Done button""","User click on the ""Done button""",""
"passed","Fri Feb 10 19:34:27 GMT 2023","Fri Feb 10 19:34:33 GMT 2023","6504","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Date""","User click on the ""Date""",""
"passed","Fri Feb 10 19:32:56 GMT 2023","Fri Feb 10 19:33:03 GMT 2023","6578","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Depature Date""","User click on the ""Depature Date""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","1","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""TRAVELLERS & CABIN Drop down""","User click on the ""TRAVELLERS & CABIN Drop down""",""
"passed","Fri Feb 10 19:32:03 GMT 2023","Fri Feb 10 19:32:06 GMT 2023","3622","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:31:26 GMT 2023","Fri Feb 10 19:31:32 GMT 2023","6611","","Find flight process","","Find flight process","User click on the ""Depature Date""","User click on the ""Depature Date""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Done button""","User click on the ""Done button""",""
"passed","Fri Feb 10 19:33:49 GMT 2023","Fri Feb 10 19:33:56 GMT 2023","6566","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search From text field""","User click on the ""Bus Search From text field""",""
"passed","Fri Feb 10 19:31:19 GMT 2023","Fri Feb 10 19:31:26 GMT 2023","6577","","Find flight process","","Find flight process","User click on the ""Goa (GOI)""","User click on the ""Goa (GOI)""",""
"passed","Fri Feb 10 19:34:05 GMT 2023","Fri Feb 10 19:34:11 GMT 2023","6553","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search To text field""","User click on the ""Bus Search To text field""",""
"passed","Fri Feb 10 19:31:17 GMT 2023","Fri Feb 10 19:31:19 GMT 2023","2572","","Find flight process","","Find flight process","User enters text in text field ""To_1"" from given sheet ""TestData""","User enters text in text field ""To_1"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:10 GMT 2023","Fri Feb 10 19:35:13 GMT 2023","2735","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:43 GMT 2023","Fri Feb 10 19:35:46 GMT 2023","2717","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:33:03 GMT 2023","Fri Feb 10 19:33:10 GMT 2023","6516","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Date""","User click on the ""Date""",""
"passed","Fri Feb 10 19:34:56 GMT 2023","Fri Feb 10 19:35:00 GMT 2023","3572","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:33:34 GMT 2023","Fri Feb 10 19:33:34 GMT 2023","1","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:32:47 GMT 2023","Fri Feb 10 19:32:50 GMT 2023","2547","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""To_2"" from given sheet ""TestData""","User enters text in text field ""To_2"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:32 GMT 2023","Fri Feb 10 19:35:43 GMT 2023","10523","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"passed","Fri Feb 10 19:35:00 GMT 2023","Fri Feb 10 19:35:10 GMT 2023","10707","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","0","","Find flight process","","Find flight process","User click on the ""Economy""","User click on the ""Economy""",""
"passed","Fri Feb 10 19:34:11 GMT 2023","Fri Feb 10 19:34:14 GMT 2023","2558","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User enters text in text field ""Bus Search To"" from given sheet ""TestData""","User enters text in text field ""Bus Search To"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:32:31 GMT 2023","Fri Feb 10 19:32:34 GMT 2023","2599","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""From"" from given sheet ""TestData""","User enters text in text field ""From"" from given sheet ""TestData""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","1","","Find flight process","","Find flight process","User click on the ""Search button""","User click on the ""Search button""",""
"passed","Fri Feb 10 19:31:32 GMT 2023","Fri Feb 10 19:31:39 GMT 2023","6651","","Find flight process","","Find flight process","User click on the ""Date""","User click on the ""Date""",""
"passed","Fri Feb 10 19:33:46 GMT 2023","Fri Feb 10 19:33:49 GMT 2023","2731","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:29 GMT 2023","Fri Feb 10 19:35:29 GMT 2023","2","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:32:34 GMT 2023","Fri Feb 10 19:32:41 GMT 2023","6573","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Chennai (MAA)""","User click on the ""Chennai (MAA)""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Economy""","User click on the ""Economy""",""
